tau,S0,Spi
0.0,-10.168125094393247,-24.42932509439325
0.0005,-20.224825094393253,-20.66862509439325
0.001,-21.04702509439325,-10.484425094393245
0.0015,-17.60742509439325,-17.12732509439325
0.002,-10.829325094393255,-19.417725094393248
0.0025,-17.10402509439325,-17.425125094393252
0.003,-18.40812509439325,-10.377325094393242
0.0035,-14.215125094393244,-13.966525094393248
0.004,-11.100025094393246,-16.127825094393252
0.0045000000000000005,-13.325025094393254,-13.569425094393253
0.005,-16.42632509439325,-11.026625094393253
0.0055,-14.198025094393245,-13.172225094393255
0.006,-12.007725094393251,-13.542425094393252
0.006500000000000001,-13.569925094393255,-13.883825094393245
0.007,-13.717625094393256,-10.867125094393245
0.0075,-12.538625094393254,-12.17932509439325
0.008,-12.219625094393251,-12.183125094393247
0.0085,-12.195825094393243,-12.195825094393243
0.009000000000000001,-13.179725094393248,-10.864425094393255
