tau,SNR
0.0,-23.504868531340136
0.0004,-22.552468531340136
0.0008,-21.309668531340137
0.0012,-20.549668531340135
0.0016,-20.016868531340137
0.002,-19.934968531340132
0.0024,-19.241168531340136
0.0028,-19.222368531340134
0.0032,-17.915468531340135
0.0036,-18.865268531340135
0.004,-17.719668531340133
0.0044,-17.703268531340136
0.0048,-17.040668531340135
0.0052,-16.505868531340134
0.0056,-16.361068531340134
0.006,-16.020368531340136
0.0064,-15.907968531340135
0.0068,-15.342868531340134
0.007,-15.874068531340136
0.0076,-15.888168531340135
